Categorie annonce;Titre;Lieu;Prix;Chambres;Date brute;Date estimee;Type logement;Standing;Prix numerique;Chambres numeriques;Date NLP;Jours depuis publication;Annee publication;Mois publication;Jour publication;Quartier nettoye;Latitude;Longitude
Appartement;Appartement à Liberté 5;Liberte 5;450 000 F Cfa;3 chambre;3. févr., 15:25;2026-02-03;Appartement;Standard;450000;3.0;2026-02-03;51;2026;2;3;Liberte 5;14.7204627;-17.4644905
Appartement;Appartement Fann Résidence;Fenêtre mermoz;2 072 000 F Cfa;3 chambre;3. févr., 15:15;2026-02-03;Appartement;Standard;2072000;3.0;2026-02-03;51;2026;2;3;Mermoz;14.7074454;-17.474397
Appartement;Appartement à louer;Mermoz;800 000 F Cfa;3 chambre;3. févr., 15:10;2026-02-03;Appartement;Standard;800000;3.0;2026-02-03;51;2026;2;3;Mermoz;14.7074454;-17.474397
Appartement;Appartement à louer au point e;Point-e;1 200 000 F Cfa;3 chambre;3. févr., 13:21;2026-02-03;Appartement;Standard;1200000;3.0;2026-02-03;51;2026;2;3;Point E;14.6964782;-17.4641817
Appartement;Appartement f3 à louer aux almadie;Almadies;1 400 000 F Cfa;2 chambre;3. févr., 12:45;2026-02-03;F3;Standard;1400000;2.0;2026-02-03;51;2026;2;3;Almadies;14.7441857;-17.5175251
Appartement;Apppartement à louer à Grand Mbao;Mbao;150 000 F Cfa;2 chambre;3. févr., 12:15;2026-02-03;Appartement;Standard;150000;2.0;2026-02-03;51;2026;2;3;Mbao;14.7394106;-17.3177885
Appartement;F3 À OUAKAM MONUMENT;Ouakam;230 000 F Cfa;2 chambre;3. févr., 09:57;2026-02-03;F3;Standard;230000;2.0;2026-02-03;51;2026;2;3;Ouakam;14.7247367;-17.4850662
Appartement;Superbe appartement de type F4 à louer;Almadies;1 100 000 F Cfa;3 chambre;Hier, 10:54;2026-03-25;F4;Standard;1100000;3.0;2026-03-25;1;2026;3;25;Almadies;14.7441857;-17.5175251
Appartement;Appartement de 4chambres salon à Louer à Mamelles;Mamelles;500 000 F Cfa;4 chambre;3. févr., 08:36;2026-02-03;Chambre;Standard;500000;4.0;2026-02-03;51;2026;2;3;Mamelles;14.7311563;-17.5003005
Appartement;Appartement F4 tout neuf HS à louer à Dieupeul (Bourguiba);Dieuppeul;550 000 F Cfa;3 chambre;2. févr., 22:51;2026-02-02;F4;Standard;550000;3.0;2026-02-02;52;2026;2;2;Dieuppeul;14.7198137;-17.4532312
Appartement;Appartement 2 chambres salon à grand yoff;Grand-Yoff;200 000 F Cfa;2 chambre;dimanche, 20:28;2026-03-22;Chambre;Standard;200000;2.0;2026-03-22;4;2026;3;22;Grand Yoff;14.7366826;-17.4528126
Appartement;Bel appartement à louer aux Mamelles;Mamelles;850 000 F Cfa;3 chambre;2. févr., 19:52;2026-02-02;Appartement;Standard;850000;3.0;2026-02-02;52;2026;2;2;Mamelles;14.7311563;-17.5003005
Appartement;F4 À LOUER;Parcelles Assainies;300 000 F Cfa;3 chambre;3. févr., 10:36;2026-02-03;F4;Standard;300000;3.0;2026-02-03;51;2026;2;3;Parcelles Assainies;14.7594072;-17.4384546
Appartement;Studio a louer Rufisque cité Sipres;Rufisque;110 000 F Cfa;1 chambre;2. févr., 16:51;2026-02-02;Studio;Standard;110000;1.0;2026-02-02;52;2026;2;2;Rufisque;14.716417;-17.273844
Appartement;Appartement Sipres Al Azhar Rufisque;Rufisque;225 000 F Cfa;3 chambre;2. févr., 16:48;2026-02-02;Appartement;Standard;225000;3.0;2026-02-02;52;2026;2;2;Rufisque;14.716417;-17.273844
Appartement;Duplex à louer – Almadies | Résidence JASMIN;Almadies;3 000 000 F Cfa;5 chambre;2. févr., 15:37;2026-02-02;Duplex;Standard;3000000;5.0;2026-02-02;52;2026;2;2;Almadies;14.7441857;-17.5175251
Appartement;Appartement F4 à louer aux Parcelles Assainies U26;Parcelles Assainies;275 000 F Cfa;3 chambre;2. févr., 13:39;2026-02-02;F4;Standard;275000;3.0;2026-02-02;52;2026;2;2;Parcelles Assainies;14.7594072;-17.4384546
Appartement;Appt F5 à louer;Almadies;1 000 000 F Cfa;4 chambre;2. févr., 13:30;2026-02-02;F5;Standard;1000000;4.0;2026-02-02;52;2026;2;2;Almadies;14.7441857;-17.5175251
Appartement;appartement f4 à louer fann hock;Fann Hock;1 500 000 F Cfa;;2. févr., 13:00;2026-02-02;F4;Standard;1500000;4.0;2026-02-02;52;2026;2;2;Fann Hock;14.6801353;-17.4628058
Appartement;Somptueux appartements vue sur mer à louer;Almadies;1 500 000 F Cfa;3 chambre;2. févr., 12:44;2026-02-02;Appartement;Standard;1500000;3.0;2026-02-02;52;2026;2;2;Almadies;14.7441857;-17.5175251
Appartement;Appartement à louer à la CITE KEUR GORGUI;Cité keur gorgui;375 000 F Cfa;2 chambre;2. févr., 12:06;2026-02-02;Appartement;Standard;375000;2.0;2026-02-02;52;2026;2;2;Cite Keur Gorgui;14.7116889;-17.4687165
Appartement;APPARTEMENT F4 À LOUER – ALMADIES RECASEMENT;Almadies;500 000 F Cfa;3 chambre;2. févr., 11:46;2026-02-02;F4;Standard;500000;3.0;2026-02-02;52;2026;2;2;Almadies;14.7441857;-17.5175251
Appartement;Appartements F4 à louer sur la corniche des Almadies;Almadies;1 000 000 F Cfa;3 chambre;2. févr., 09:58;2026-02-02;F4;Standard;1000000;3.0;2026-02-02;52;2026;2;2;Almadies;14.7441857;-17.5175251
Appartement;Appartement vue sur mer haut plateau;Plateau;3 500 000 F Cfa;3 chambre;9. déc. '25, 11:00;2025-12-09;Appartement;Standard;3500000;3.0;2025-12-09;107;2025;12;9;Plateau;14.6768175;-17.4392915
Appartement;Magnifique Appartement Duplex au almadies;Almadies;300 000 F Cfa;2 chambre;2. févr., 08:53;2026-02-02;Duplex;Standard;300000;2.0;2026-02-02;52;2026;2;2;Almadies;14.7441857;-17.5175251
Appartement;Apparement à louer Ngor;Ngor;2 000 000 F Cfa;3 chambre;2. févr., 08:30;2026-02-02;Appartement;Standard;2000000;3.0;2026-02-02;52;2026;2;2;Ngor;14.7487915;-17.5149607
Appartement;Appartement F4 duplex aux Almadies;Almadies;1 300 000 F Cfa;3 chambre;1. févr., 21:32;2026-02-01;F4;Standard;1300000;3.0;2026-02-01;53;2026;2;1;Almadies;14.7441857;-17.5175251
Appartement;Appartement à Keur Mbaye Fall;Zac Mbao;200 000 F Cfa;;1. févr., 21:08;2026-02-01;Appartement;Standard;200000;;2026-02-01;53;2026;2;1;ZAC Mbao;14.7304126;-17.3021447
Appartement;Splendide Appartement type F4 à louer -Confort et modernité;Zone de captage;450 000 F Cfa;3 chambre;1. févr., 17:26;2026-02-01;F4;Standard;450000;3.0;2026-02-01;53;2026;2;1;Zone De Captage;14.7340917;-17.4430318
